불법투기 계도단속용 스마트경고판(CCTV) 현황,,,,,
,,,,,
연번,관할,설치위치,부연설명,비고,
1,유구읍,유구읍 유구리 379-6,유구마곡사로 131 진입구간,,
2,유구읍,유구읍 백교리 60-1,좋은교회(만천길 15-2) 건너편,,
3,유구읍,유구읍 석남리 368-3,,,
4,유구읍,유구읍 석남리 380-12,유구자원(유구외곽로 221) 입구부근 교차로,,
5,유구읍,유구읍 석남리 220-1,애플하우스(수촌중앙길 9) 건너편,,
6,유구읍,유구읍 석남리 212-6,등운야식(중앙1길 130) 건너편,,
7,유구읍,유구읍 석남리 57-20,미주그린빌라(수촌중앙길 22) 맞은편 공터,,
8,유구읍,유구읍 녹천리 26-20,녹천교 부근,,
9,유구읍,유구읍 유구리 460-2,고속도로순찰대 제2지구대 집입교차로 부근,,
10,유구읍,유구읍 백교리 98-4,백교1리 마을입구,,
11,유구읍,유구읍 석남리 303-3,근화아파트 정문 마을정자 건너편,,
12,유구읍,유구읍 신영리 443 - 4,신영2리 버스승강장 부근,,
13,유구읍,유구읍 석남리 442-4,유구시장 광장 내,,
14,유구읍,유구읍 백교리 15-3,유구마이스터고 삼거리,,
15,이인면,이인면 목동리 414-3,목동(남월) 버스승강장 부근,,
16,이인면,이인면 발양리 871,발양리 경로당(고분티로 241) 주차장 내,,
17,이인면,이인면 초봉리 272-1,초봉리 마을회관(숭선군로 127) 건너편 공터 클린하우스,,
18,이인면,이인면 초봉리 78-1,장익는마을 농촌체험관 주차장 내,,
19,이인면,이인면 이인리 428-7,우릉골2길 15-2 앞,,
20,탄천면,탄천면 분강리 산38-8,분강리 버스승강장 부근,,
21,탄천면,탄천면 덕지리 226-6,덕지리 창고(하효동길 81) 앞 교차로 내,,
22,탄천면,탄천면 삼각리 487-1,공주소방서 탄천면119지역대 옆 공중화장실(통산로 182-5) 부근,,
23,탄천면,탄천면 덕지리 673,월량이천교 부근,,
24,탄천면,탄천면 덕지리 696,공주시 탄천면 덕지리 682-6 부근 덕지리 버스승강장 건너편,,
25,계룡면,계룡면 화은리 174-3,도로 합류지점,,
26,계룡면,계룡면 중장리 328-5,계룡커피농장(왕흥장악로 67) 입구 부근 교차로,,
27,계룡면,계룡면 양화리 53-1,공중화장실(신원사로 526) 앞 주차장 내,,
28,계룡면,계룡면 경천리 822-13,경천교 초입 부근,,
29,계룡면,계룡면 경천리 55-10,돌정길 17 담벼락,,
30,계룡면,계룡면 봉명리 492-12,신봉교 부근 봉명리 마을집하장,,
31,계룡면,계룡면 유평리 405-1,신곡길 32 부근 마을공터 내,,
32,계룡면,계룡면 내흥리 545-2,내흥삼거리 부근,,
33,계룡면,계룡면 기산리 377-19,원동교 통로박스 교차로 부근,,
34,계룡면,계룡면 경천리 500-1,상평마을 버스승강장 부근,,
35,계룡면,계룡면 경천리 62-15,돌정길 7 부근,,
36,계룡면,계룡면 중장리 723-26,중장3리 마을회관 초입,,
37,반포면,반포면 학봉리 814,,,
38,반포면,반포면 상신리 575-1,도예촌 집입구간 클린하우스 부근,,
39,반포면,반포면 마암리 339-2,할매순대국밥(금벽로 1351) 옆 충남과학고등학교 교차로 부근,,
40,반포면,반포면 학봉리 469-11,장군봉 공영주차장 초입,,
41,반포면,반포면 봉곡리 421,시골영양탕(과수원길 3) 건너편 봉곡리 공동집하장,,
42,반포면,반포면 공암리 451-2,반포초 교차로 부근,,
43,반포면,반포면 공암리 산 11-19,반포농협 건너편 현수막게시대 부근,,
44,반포면,반포면 마암리 569-5,반포마암 마을하수도 부근,,
45,의당면,의당면 청룡리 677-25,와룡교 초입,,
46,의당면,의당면 가산리 8-2,태산리 버스승강장 부근,,
47,의당면,의당면 중흥리 634-4,중흥리 634-4 교차로 내,,
48,의당면,의당면 도신리 632,청송염소탕(의당전의로 1240) 건너편 도신교 초입 마을정자 부근,,
49,의당면,의당면 수촌리 31-5,수촌리 회전교차로 부근,,
50,의당면,의당면 유계리 279,유계길 47-2 부근 분리수거장,,
51,정안면,정안면 월산리 4-1,월산1리 진입로 월산교 초입,,
52,정안면,정안면 사현리 254-2,사현교 초입(정안농공단지 > 사현1리),,
53,정안면,정안면 하정안길 69,고속도로 고가 아래,,
